Multiplier: 10
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,0.9474,0.097,0.903,0.0526,0.0757,0.9245,2.216
1.2,gini,5,32,0.9392,0.0816,0.9184,0.0608,0.0712,0.929,0.905
1.3,gini,5,32,0.9456,0.0823,0.9177,0.0544,0.0689,0.9311,0.619
1.4,gini,5,32,0.8846,0.1379,0.8621,0.1154,0.1273,0.8724,0.836
1.5,gini,5,32,0.9535,0.1224,0.8776,0.0465,0.087,0.9139,0.656
1.6,gini,5,32,0.9549,0.0943,0.9057,0.0451,0.0719,0.9272,0.643
1.7,gini,5,32,0.9236,0.098,0.902,0.0764,0.0875,0.9124,0.754
1.8,gini,5,32,0.875,0.0764,0.9236,0.125,0.1,0.901,0.693
1.9,gini,5,32,0.9065,0.1203,0.8797,0.0935,0.1077,0.8917,0.598
1.10,gini,5,32,0.9041,0.0769,0.9231,0.0959,0.0857,0.914,0.573
2.1,gini,5,64,0.9295,0.0932,0.9068,0.0705,0.082,0.9181,0.606
2.2,gini,5,64,0.9216,0.0704,0.9296,0.0784,0.0746,0.9252,0.55
2.3,gini,5,64,0.9257,0.0955,0.9045,0.0743,0.0852,0.9147,0.618
2.4,gini,5,64,0.8923,0.131,0.869,0.1077,0.12,0.8796,0.58
2.5,gini,5,64,0.947,0.1111,0.8889,0.053,0.0833,0.9173,0.762
2.6,gini,5,64,0.9481,0.0892,0.9108,0.0519,0.0719,0.9274,0.733
2.7,gini,5,64,0.9028,0.1176,0.8824,0.0972,0.1077,0.8922,0.594
2.8,gini,5,64,0.8593,0.0966,0.9034,0.1407,0.1179,0.8828,0.557
2.9,gini,5,64,0.9111,0.1358,0.8642,0.0889,0.1145,0.8847,0.618
2.10,gini,5,64,0.9444,0.0526,0.9474,0.0556,0.054,0.9454,0.592
3.1,gini,5,128,0.9539,0.0909,0.9091,0.0461,0.0694,0.9308,0.767
3.2,gini,5,128,0.9267,0.0828,0.9172,0.0733,0.078,0.9221,0.702
3.3,gini,5,128,0.9315,0.1006,0.8994,0.0685,0.0852,0.9147,0.774
3.4,gini,5,128,0.9661,0.1338,0.8662,0.0339,0.0909,0.9079,0.705
3.5,gini,5,128,0.9545,0.1042,0.8958,0.0455,0.0761,0.9246,0.613
3.6,gini,5,128,0.9562,0.071,0.929,0.0438,0.0582,0.9413,0.59
3.7,gini,5,128,0.9384,0.0728,0.9272,0.0616,0.0673,0.9326,0.764
3.8,gini,5,128,0.9084,0.0738,0.9262,0.0916,0.0821,0.9177,0.487
