Multiplier: 1
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,0.95,0.1293,0.8707,0.05,0.0801,0.9187,2.103
2.1,gini,5,64,0.9465,0.1181,0.8819,0.0535,0.0775,0.9192,1.321
3.1,gini,5,128,0.9426,0.1189,0.8811,0.0574,0.0801,0.9156,1.377
4.1,gini,6,32,0.954,0.1284,0.8716,0.046,0.0775,0.9223,1.35
5.1,gini,6,64,0.954,0.1284,0.8716,0.046,0.0775,0.9223,1.25
6.1,gini,6,128,0.9421,0.131,0.869,0.0579,0.0853,0.9115,1.458
7.1,gini,7,32,0.9383,0.1319,0.8681,0.0617,0.0879,0.908,1.33
8.1,gini,7,64,0.9347,0.1268,0.8732,0.0653,0.0879,0.9064,1.58
9.1,gini,7,128,0.9383,0.1319,0.8681,0.0617,0.0879,0.908,2.053
10.1,entropy,5,32,0.9306,0.1338,0.8662,0.0694,0.093,0.9008,1.437
11.1,entropy,5,64,0.9458,0.1361,0.8639,0.0542,0.0853,0.9131,1.561
12.1,entropy,5,128,0.9456,0.1419,0.8581,0.0544,0.0879,0.9111,1.924
13.1,entropy,6,32,0.9124,0.1324,0.8676,0.0876,0.1034,0.885,1.684
14.1,entropy,6,64,0.9333,0.1565,0.8435,0.0667,0.1008,0.8963,1.818
15.1,entropy,6,128,0.9339,0.1448,0.8552,0.0661,0.0956,0.9003,1.917
16.1,entropy,7,32,0.8992,0.1727,0.8273,0.1008,0.1266,0.8621,1.729
17.1,entropy,7,64,0.9333,0.1565,0.8435,0.0667,0.1008,0.8963,1.556
18.1,entropy,7,128,0.9344,0.1329,0.8671,0.0656,0.0904,0.9044,1.735
#############################
Random_Forest MLLib: 36 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Num_Trees,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,100,0.9828,0.1226,0.8774,0.0172,0.0594,0.9473,3.129
2.1,gini,5,32,200,0.9828,0.1169,0.8831,0.0172,0.0568,0.9493,4.4
3.1,gini,5,64,100,0.9828,0.1169,0.8831,0.0172,0.0568,0.9493,3.492
4.1,gini,5,64,200,0.9827,0.1282,0.8718,0.0173,0.062,0.9452,5.92
5.1,gini,5,128,100,0.9784,0.129,0.871,0.0216,0.0646,0.9417,5.166
6.1,gini,5,128,200,0.9786,0.1176,0.8824,0.0214,0.0594,0.9457,8.244
7.1,gini,6,32,100,0.9785,0.1234,0.8766,0.0215,0.062,0.9437,3.77
8.1,gini,6,32,200,0.9828,0.1169,0.8831,0.0172,0.0568,0.9493,5.311
9.1,gini,6,64,100,0.9828,0.1169,0.8831,0.0172,0.0568,0.9493,4.114
10.1,gini,6,64,200,0.9784,0.1346,0.8654,0.0216,0.0672,0.9396,6.529
11.1,gini,6,128,100,0.9785,0.1234,0.8766,0.0215,0.062,0.9437,5.522
12.1,gini,6,128,200,0.9784,0.129,0.871,0.0216,0.0646,0.9417,9.14
13.1,gini,7,32,100,0.9829,0.1111,0.8889,0.0171,0.0543,0.9513,4.235
14.1,gini,7,32,200,0.9746,0.1126,0.8874,0.0254,0.0594,0.9442,5.642
15.1,gini,7,64,100,0.9785,0.1234,0.8766,0.0215,0.062,0.9437,4.175
16.1,gini,7,64,200,0.9787,0.1118,0.8882,0.0213,0.0568,0.9477,6.949
17.1,gini,7,128,100,0.9785,0.1234,0.8766,0.0215,0.062,0.9437,5.619
18.1,gini,7,128,200,0.9786,0.1176,0.8824,0.0214,0.0594,0.9457,9.874
19.1,entropy,5,32,100,0.9825,0.1392,0.8608,0.0175,0.0672,0.9412,2.76
20.1,entropy,5,32,200,0.9827,0.1282,0.8718,0.0173,0.062,0.9452,4.485
21.1,entropy,5,64,100,0.9826,0.1338,0.8662,0.0174,0.0646,0.9432,3.688
22.1,entropy,5,64,200,0.9827,0.1282,0.8718,0.0173,0.062,0.9452,5.259
23.1,entropy,5,128,100,0.9826,0.1338,0.8662,0.0174,0.0646,0.9432,4.631
24.1,entropy,5,128,200,0.9827,0.1282,0.8718,0.0173,0.062,0.9452,7.635
25.1,entropy,6,32,100,0.9871,0.1161,0.8839,0.0129,0.0543,0.9528,3.732
26.1,entropy,6,32,200,0.9828,0.1226,0.8774,0.0172,0.0594,0.9473,5.524
27.1,entropy,6,64,100,0.9828,0.1226,0.8774,0.0172,0.0594,0.9473,4.136
28.1,entropy,6,64,200,0.9827,0.1282,0.8718,0.0173,0.062,0.9452,6.515
29.1,entropy,6,128,100,0.9784,0.129,0.871,0.0216,0.0646,0.9417,5.337
30.1,entropy,6,128,200,0.9828,0.1226,0.8774,0.0172,0.0594,0.9473,9.279
31.1,entropy,7,32,100,0.9827,0.1282,0.8718,0.0173,0.062,0.9452,4.376
32.1,entropy,7,32,200,0.983,0.1053,0.8947,0.017,0.0517,0.9533,6.278
33.1,entropy,7,64,100,0.9828,0.1169,0.8831,0.0172,0.0568,0.9493,5.113
34.1,entropy,7,64,200,0.9828,0.1226,0.8774,0.0172,0.0594,0.9473,7.961
35.1,entropy,7,128,100,0.9784,0.1346,0.8654,0.0216,0.0672,0.9396,6.12
36.1,entropy,7,128,200,0.9828,0.1169,0.8831,0.0172,0.0568,0.9493,11.66
#############################
Gradient Boosted Tree: 36 different tests
Iteration,Loss,Max_Depth,Max_Bins,Num_Iterations,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,logLoss,3,32,50,0.9472,0.0993,0.9007,0.0528,0.0698,0.9252,36.377
2.1,logLoss,3,32,100,0.9469,0.1056,0.8944,0.0531,0.0724,0.9232,84.341
3.1,logLoss,3,64,50,0.9583,0.1156,0.8844,0.0417,0.0698,0.9299,41.898
4.1,logLoss,3,64,100,0.9544,0.1164,0.8836,0.0456,0.0724,0.9263,89.872
5.1,logLoss,3,128,50,0.9545,0.1103,0.8897,0.0455,0.0698,0.9283,46.204
6.1,logLoss,3,128,100,0.9467,0.1119,0.8881,0.0533,0.0749,0.9212,93.226
7.1,logLoss,5,32,50,0.9274,0.1223,0.8777,0.0726,0.0904,0.9013,54.451
