Decision_Tree MLLib: 18 versions x 1 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.9016,0.0,0.1214,0.0,0.8786,0.0,0.0984,0.0,0.1107,0.0,0.8886,0.0,4.322,0.0
2,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,1.57,0.0
3,0.9397,0.0,0.1233,0.0,0.8767,0.0,0.0603,0.0,0.0954,0.0,0.9032,0.0,1.454,0.0
4,0.9024,0.0,0.1151,0.0,0.8849,0.0,0.0976,0.0,0.1069,0.0,0.8926,0.0,1.449,0.0
5,0.9492,0.0,0.1042,0.0,0.8958,0.0,0.0508,0.0,0.0802,0.0,0.9187,0.0,1.271,0.0
6,0.9397,0.0,0.1233,0.0,0.8767,0.0,0.0603,0.0,0.0954,0.0,0.9032,0.0,1.435,0.0
7,0.896,0.0,0.1095,0.0,0.8905,0.0,0.104,0.0,0.1069,0.0,0.8928,0.0,1.247,0.0
8,0.9492,0.0,0.1042,0.0,0.8958,0.0,0.0508,0.0,0.0802,0.0,0.9187,0.0,1.355,0.0
9,0.9397,0.0,0.1233,0.0,0.8767,0.0,0.0603,0.0,0.0954,0.0,0.9032,0.0,1.519,0.0
10,0.9231,0.0,0.131,0.0,0.869,0.0,0.0769,0.0,0.1069,0.0,0.8919,0.0,1.273,0.0
11,0.9402,0.0,0.1172,0.0,0.8828,0.0,0.0598,0.0,0.0916,0.0,0.9071,0.0,1.076,0.0
12,0.9402,0.0,0.1172,0.0,0.8828,0.0,0.0598,0.0,0.0916,0.0,0.9071,0.0,1.189,0.0
13,0.9322,0.0,0.1181,0.0,0.8819,0.0,0.0678,0.0,0.0954,0.0,0.9034,0.0,1.097,0.0
14,0.9339,0.0,0.0993,0.0,0.9007,0.0,0.0661,0.0,0.084,0.0,0.9153,0.0,1.112,0.0
15,0.9333,0.0,0.1056,0.0,0.8944,0.0,0.0667,0.0,0.0878,0.0,0.9113,0.0,1.115,0.0
16,0.9322,0.0,0.1181,0.0,0.8819,0.0,0.0678,0.0,0.0954,0.0,0.9034,0.0,1.245,0.0
17,0.9339,0.0,0.0993,0.0,0.9007,0.0,0.0661,0.0,0.084,0.0,0.9153,0.0,1.205,0.0
18,0.896,0.0,0.1095,0.0,0.8905,0.0,0.104,0.0,0.1069,0.0,0.8928,0.0,1.235,0.0
Best version of Decision_Tree MLLib is test n°5
With 3 parameters:
Impurity: gini
Max_Depth: 6
Max_Bins: 32
-
Mean and St_Dev of the whole Decision_Tree MLLib classifier metrics are as follows:
Sensitivity: Mean = 0.93; St_Dev = 0.0187
Fallout: Mean = 0.1138; St_Dev = 0.0091
Specificity: Mean = 0.8862; St_Dev = 0.0091
Miss_Rate: Mean = 0.07; St_Dev = 0.0187
Test_Error: Mean = 0.0942; St_Dev = 0.0102
AUC: Mean = 0.9048; St_Dev = 0.0101
Exec_Time: Mean = 1.4538; St_Dev = 0.7312
#############################
Random_Forest MLLib: 36 versions x 1 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.9649,0.0,0.1149,0.0,0.8851,0.0,0.0351,0.0,0.0802,0.0,0.9183,0.0,2.207,0.0
2,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,2.702,0.0
3,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,2.209,0.0
4,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,3.023,0.0
5,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,2.805,0.0
6,0.9565,0.0,0.1156,0.0,0.8844,0.0,0.0435,0.0,0.084,0.0,0.9146,0.0,4.366,0.0
7,0.9735,0.0,0.1141,0.0,0.8859,0.0,0.0265,0.0,0.0763,0.0,0.922,0.0,2.364,0.0
8,0.9565,0.0,0.1156,0.0,0.8844,0.0,0.0435,0.0,0.084,0.0,0.9146,0.0,2.997,0.0
9,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,2.673,0.0
10,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,3.641,0.0
11,0.9573,0.0,0.1034,0.0,0.8966,0.0,0.0427,0.0,0.0763,0.0,0.9224,0.0,3.081,0.0
12,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,5.107,0.0
13,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,2.438,0.0
14,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,3.535,0.0
15,0.9492,0.0,0.1042,0.0,0.8958,0.0,0.0508,0.0,0.0802,0.0,0.9187,0.0,2.79,0.0
16,0.9565,0.0,0.1156,0.0,0.8844,0.0,0.0435,0.0,0.084,0.0,0.9146,0.0,4.07,0.0
17,0.9573,0.0,0.1034,0.0,0.8966,0.0,0.0427,0.0,0.0763,0.0,0.9224,0.0,3.39,0.0
18,0.9573,0.0,0.1034,0.0,0.8966,0.0,0.0427,0.0,0.0763,0.0,0.9224,0.0,6.268,0.0
19,0.9735,0.0,0.1141,0.0,0.8859,0.0,0.0265,0.0,0.0763,0.0,0.922,0.0,1.897,0.0
20,0.9737,0.0,0.1081,0.0,0.8919,0.0,0.0263,0.0,0.0725,0.0,0.9259,0.0,2.459,0.0
21,0.982,0.0,0.1192,0.0,0.8808,0.0,0.018,0.0,0.0763,0.0,0.9217,0.0,2.146,0.0
22,0.9561,0.0,0.1216,0.0,0.8784,0.0,0.0439,0.0,0.0878,0.0,0.9106,0.0,2.954,0.0
23,0.9565,0.0,0.1156,0.0,0.8844,0.0,0.0435,0.0,0.084,0.0,0.9146,0.0,2.485,0.0
24,0.982,0.0,0.1192,0.0,0.8808,0.0,0.018,0.0,0.0763,0.0,0.9217,0.0,4.034,0.0
25,0.9573,0.0,0.1034,0.0,0.8966,0.0,0.0427,0.0,0.0763,0.0,0.9224,0.0,2.144,0.0
26,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,2.87,0.0
27,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,2.342,0.0
