Multiplier: 10
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,0.939,0.0917,0.9083,0.061,0.0739,0.9246,2.169
1.2,gini,5,32,0.9531,0.0704,0.9296,0.0469,0.0593,0.9404,0.932
1.3,gini,5,32,0.8955,0.0746,0.9254,0.1045,0.0896,0.9108,0.626
1.4,gini,5,32,0.931,0.0802,0.9198,0.069,0.0749,0.9246,0.723
1.5,gini,5,32,0.9329,0.1118,0.8882,0.0671,0.0897,0.911,0.647
1.6,gini,5,32,0.9655,0.1212,0.8788,0.0345,0.0854,0.9108,0.799
1.7,gini,5,32,0.9412,0.0875,0.9125,0.0588,0.0735,0.9267,0.687
1.8,gini,5,32,0.8921,0.0904,0.9096,0.1079,0.0981,0.9002,0.663
1.9,gini,5,32,0.952,0.0952,0.9048,0.048,0.0717,0.9292,0.602
1.10,gini,5,32,0.9304,0.0705,0.9295,0.0696,0.0701,0.9299,0.622
2.1,gini,5,64,0.9383,0.1066,0.8934,0.0617,0.081,0.9186,0.655
2.2,gini,5,64,0.9237,0.0791,0.9209,0.0763,0.0778,0.9221,0.626
2.3,gini,5,64,0.9173,0.0593,0.9407,0.0827,0.0709,0.9294,0.549
2.4,gini,5,64,0.9301,0.0915,0.9085,0.0699,0.0814,0.9179,0.565
2.5,gini,5,64,0.9276,0.1007,0.8993,0.0724,0.0864,0.914,0.603
2.6,gini,5,64,0.9669,0.0938,0.9062,0.0331,0.0676,0.9298,0.612
2.7,gini,5,64,0.9295,0.0828,0.9172,0.0705,0.0767,0.9234,0.573
2.8,gini,5,64,0.8857,0.0909,0.9091,0.1143,0.1013,0.8974,0.595
2.9,gini,5,64,0.9516,0.1024,0.8976,0.0484,0.0757,0.9254,0.61
2.10,gini,5,64,0.8896,0.0861,0.9139,0.1104,0.0987,0.9012,0.597
3.1,gini,5,128,0.9557,0.1111,0.8889,0.0443,0.0739,0.9282,0.523
3.2,gini,5,128,0.9528,0.0769,0.9231,0.0472,0.063,0.9366,0.571
3.3,gini,5,128,0.938,0.0647,0.9353,0.062,0.0634,0.9364,0.654
3.4,gini,5,128,0.931,0.0802,0.9198,0.069,0.0749,0.9246,0.594
3.5,gini,5,128,0.8981,0.1042,0.8958,0.1019,0.103,0.8968,0.529
3.6,gini,5,128,0.9508,0.1006,0.8994,0.0492,0.0783,0.9193,0.617
3.7,gini,5,128,0.9006,0.0855,0.9145,0.0994,0.0927,0.9072,0.607
3.8,gini,5,128,0.9343,0.067,0.933,0.0657,0.0665,0.9316,0.653
3.9,gini,5,128,0.9531,0.0732,0.9268,0.0469,0.0598,0.9406,0.677
3.10,gini,5,128,0.9136,0.0658,0.9342,0.0864,0.0764,0.9235,0.752
4.1,gini,6,32,0.939,0.0917,0.9083,0.061,0.0739,0.9246,0.601
4.2,gini,6,32,0.9462,0.0643,0.9357,0.0538,0.0593,0.9405,0.639
4.3,gini,6,32,0.9023,0.0741,0.9259,0.0977,0.0858,0.9144,0.606
4.4,gini,6,32,0.9247,0.0807,0.9193,0.0753,0.0782,0.9215,0.539
4.5,gini,6,32,0.9216,0.1014,0.8986,0.0784,0.0897,0.9105,0.578
4.6,gini,6,32,0.9655,0.1212,0.8788,0.0345,0.0854,0.9108,0.616
4.7,gini,6,32,0.9355,0.0823,0.9177,0.0645,0.0735,0.9266,0.602
4.8,gini,6,32,0.8811,0.0809,0.9191,0.1189,0.0981,0.9017,0.537
4.9,gini,6,32,0.9231,0.0909,0.9091,0.0769,0.0837,0.9163,0.59
4.10,gini,6,32,0.9187,0.0714,0.9286,0.0813,0.0764,0.9235,0.575
5.1,gini,6,64,0.9379,0.1138,0.8862,0.0621,0.0845,0.9156,0.56
5.2,gini,6,64,0.903,0.0809,0.9191,0.097,0.0889,0.9112,0.598
5.3,gini,6,64,0.9154,0.0797,0.9203,0.0846,0.0821,0.9178,0.617
5.4,gini,6,64,0.9301,0.0915,0.9085,0.0699,0.0814,0.9179,0.487
5.5,gini,6,64,0.9281,0.0946,0.9054,0.0719,0.0831,0.9172,0.745
5.6,gini,6,64,0.9669,0.0938,0.9062,0.0331,0.0676,0.9298,0.629
5.7,gini,6,64,0.9068,0.0789,0.9211,0.0932,0.0863,0.9136,0.704
5.8,gini,6,64,0.9185,0.0884,0.9116,0.0815,0.0854,0.9116,0.584
5.9,gini,6,64,0.944,0.1032,0.8968,0.056,0.0797,0.9212,0.647
5.10,gini,6,64,0.8944,0.0915,0.9085,0.1056,0.0987,0.9012,0.586
6.1,gini,6,128,0.9677,0.1163,0.8837,0.0323,0.0704,0.9335,0.629
6.2,gini,6,128,0.9457,0.0709,0.9291,0.0543,0.063,0.9368,0.722
6.3,gini,6,128,0.9297,0.0786,0.9214,0.0703,0.0746,0.9251,0.609
6.4,gini,6,128,0.931,0.0802,0.9198,0.069,0.0749,0.9246,0.631
6.5,gini,6,128,0.9045,0.0972,0.9028,0.0955,0.0963,0.9034,0.635
6.6,gini,6,128,0.9431,0.1013,0.8987,0.0569,0.0819,0.9159,0.632
6.7,gini,6,128,0.8889,0.0927,0.9073,0.1111,0.1022,0.8976,0.811
6.8,gini,6,128,0.9214,0.0625,0.9375,0.0786,0.0696,0.9295,0.581
6.9,gini,6,128,0.9606,0.0726,0.9274,0.0394,0.0558,0.9448,0.65
6.10,gini,6,128,0.881,0.0685,0.9315,0.119,0.0955,0.9043,0.703
7.1,gini,7,32,0.939,0.0917,0.9083,0.061,0.0739,0.9246,0.646
7.2,gini,7,32,0.9462,0.0643,0.9357,0.0538,0.0593,0.9405,0.593
7.3,gini,7,32,0.8889,0.0752,0.9248,0.1111,0.0933,0.9072,0.631
7.4,gini,7,32,0.9,0.0828,0.9172,0.1,0.0912,0.9089,0.602
7.5,gini,7,32,0.9333,0.106,0.894,0.0667,0.0864,0.9142,0.587
7.6,gini,7,32,0.9417,0.118,0.882,0.0583,0.0925,0.9045,0.622
7.7,gini,7,32,0.9295,0.0828,0.9172,0.0705,0.0767,0.9234,0.469
7.8,gini,7,32,0.8811,0.0809,0.9191,0.1189,0.0981,0.9017,0.59
7.9,gini,7,32,0.9297,0.0976,0.9024,0.0703,0.0837,0.9167,0.609
7.10,gini,7,32,0.9119,0.0839,0.9161,0.0881,0.086,0.914,0.651
8.1,gini,7,64,0.9379,0.1138,0.8862,0.0621,0.0845,0.9156,0.61
8.2,gini,7,64,0.903,0.0809,0.9191,0.097,0.0889,0.9112,0.609
8.3,gini,7,64,0.8633,0.0775,0.9225,0.1367,0.1082,0.8927,0.613
