Multiplier: 10
Multilayer Perceptron: 36 different tests
Iteration,Max_Iter,Layer,Block_Size,Solver,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,50,"[30, 10, 2]",128,l-bfgs,0.0,0.4966,0.5034,0.0,0.4966,0.5,5.914
1.2,50,"[30, 10, 2]",128,l-bfgs,0.0,0.524,0.476,0.0,0.524,0.5,2.1
1.3,50,"[30, 10, 2]",128,l-bfgs,0.4947,0.0,0.0,0.5053,0.5053,0.5,3.574
1.4,50,"[30, 10, 2]",128,l-bfgs,0.0,0.516,0.484,0.0,0.516,0.5,1.904
1.5,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5418,0.4582,0.0,0.5418,0.5,2.103
1.6,50,"[30, 10, 2]",128,l-bfgs,0.4747,0.0,0.0,0.5253,0.5253,0.5,1.747
1.7,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5436,0.4564,1.0,0.5451,0.4962,1.593
1.8,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5267,0.4733,0.0,0.5267,0.5,3.643
1.9,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5066,0.4934,0.0,0.5066,0.5,1.768
1.10,50,"[30, 10, 2]",128,l-bfgs,0.0,0.5168,0.4832,1.0,0.5302,0.5,2.792
2.1,50,"[30, 10, 2]",128,gd,0.0,0.4966,0.5034,0.0,0.4966,0.5,2.069
2.2,50,"[30, 10, 2]",128,gd,0.0,0.524,0.476,0.0,0.524,0.5,1.957
2.3,50,"[30, 10, 2]",128,gd,0.4947,0.0,0.0,0.5053,0.5053,0.5,1.984
2.4,50,"[30, 10, 2]",128,gd,0.0,0.516,0.484,0.0,0.516,0.5,1.823
2.5,50,"[30, 10, 2]",128,gd,0.0,0.5418,0.4582,0.0,0.5418,0.5,1.951
2.6,50,"[30, 10, 2]",128,gd,0.4747,0.0,0.0,0.5253,0.5253,0.5,1.781
2.7,50,"[30, 10, 2]",128,gd,0.0,0.5417,0.4583,0.0,0.5417,0.5,1.859
2.8,50,"[30, 10, 2]",128,gd,0.0,0.5267,0.4733,0.0,0.5267,0.5,1.861
2.9,50,"[30, 10, 2]",128,gd,0.0,0.5066,0.4934,0.0,0.5066,0.5,1.844
2.10,50,"[30, 10, 2]",128,gd,0.0,0.5168,0.4832,0.0,0.5168,0.5332,1.798
3.1,50,"[30, 10, 2]",256,l-bfgs,0.0,0.4966,0.5034,0.0,0.4966,0.5,1.646
3.2,50,"[30, 10, 2]",256,l-bfgs,0.0,0.524,0.476,0.0,0.524,0.5,1.449
3.3,50,"[30, 10, 2]",256,l-bfgs,0.4911,0.0,0.0,0.5089,0.5053,0.5,2.546
3.4,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5244,0.4756,0.0,0.516,0.5,1.58
3.5,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5418,0.4582,0.0,0.5418,0.5,1.753
3.6,50,"[30, 10, 2]",256,l-bfgs,0.4747,1.0,0.0,0.5253,0.5387,0.505,1.567
3.7,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5436,0.4564,1.0,0.559,0.4962,1.376
3.8,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5267,0.4733,0.0,0.5267,0.5,2.948
3.9,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5066,0.4934,0.0,0.5066,0.5,1.658
3.10,50,"[30, 10, 2]",256,l-bfgs,0.0,0.5168,0.4832,0.0,0.5168,0.5,2.291
4.1,50,"[30, 10, 2]",256,gd,0.0,0.4966,0.5034,0.0,0.4966,0.5,1.77
4.2,50,"[30, 10, 2]",256,gd,0.0,0.524,0.476,0.0,0.524,0.5,1.796
4.3,50,"[30, 10, 2]",256,gd,0.4947,0.0,0.0,0.5053,0.5053,0.5,1.898
4.4,50,"[30, 10, 2]",256,gd,0.0,0.516,0.484,0.0,0.516,0.5058,1.736
4.5,50,"[30, 10, 2]",256,gd,0.0,0.5455,0.4545,0.0,0.5418,0.5,1.821
4.6,50,"[30, 10, 2]",256,gd,0.4692,0.0,0.0,0.5308,0.5219,0.5,1.803
4.7,50,"[30, 10, 2]",256,gd,0.0,0.5417,0.4583,0.0,0.5417,0.5,1.763
4.8,50,"[30, 10, 2]",256,gd,0.0,0.5267,0.4733,1.0,0.5302,0.5,1.797
4.9,50,"[30, 10, 2]",256,gd,0.0,0.5066,0.4934,0.0,0.5066,0.5,1.775
4.10,50,"[30, 10, 2]",256,gd,0.0,0.5203,0.4797,0.0,0.5168,0.5,1.893
5.1,50,"[30, 10, 2]",512,l-bfgs,0.0,0.4966,0.5034,0.0,0.4966,0.5,1.392
5.2,50,"[30, 10, 2]",512,l-bfgs,0.0,0.524,0.476,1.0,0.5559,0.5,1.472
5.3,50,"[30, 10, 2]",512,l-bfgs,0.4947,0.0,0.0,0.5053,0.5053,0.5,2.609
5.4,50,"[30, 10, 2]",512,l-bfgs,0.0,0.5049,0.4951,0.0,0.4936,0.5,1.586
5.5,50,"[30, 10, 2]",512,l-bfgs,0.0,0.5418,0.4582,0.0,0.5418,0.5,1.972
5.6,50,"[30, 10, 2]",512,l-bfgs,0.4747,0.0,0.0,0.5253,0.5253,0.5,1.51
5.7,50,"[30, 10, 2]",512,l-bfgs,0.0,0.5436,0.4564,1.0,0.5451,0.4962,1.425
5.8,50,"[30, 10, 2]",512,l-bfgs,0.0,0.5267,0.4733,1.0,0.5409,0.5,3.036
5.9,50,"[30, 10, 2]",512,l-bfgs,1.0,0.5066,0.4934,0.0,0.5066,0.5,1.796
