Decision_Tree MLLib: 18 versions x 1 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.95,0.0,0.1293,0.0,0.8707,0.0,0.05,0.0,0.0801,0.0,0.9187,0.0,2.103,0.0
2,0.9465,0.0,0.1181,0.0,0.8819,0.0,0.0535,0.0,0.0775,0.0,0.9192,0.0,1.321,0.0
3,0.9426,0.0,0.1189,0.0,0.8811,0.0,0.0574,0.0,0.0801,0.0,0.9156,0.0,1.377,0.0
4,0.954,0.0,0.1284,0.0,0.8716,0.0,0.046,0.0,0.0775,0.0,0.9223,0.0,1.35,0.0
5,0.954,0.0,0.1284,0.0,0.8716,0.0,0.046,0.0,0.0775,0.0,0.9223,0.0,1.25,0.0
6,0.9421,0.0,0.131,0.0,0.869,0.0,0.0579,0.0,0.0853,0.0,0.9115,0.0,1.458,0.0
7,0.9383,0.0,0.1319,0.0,0.8681,0.0,0.0617,0.0,0.0879,0.0,0.908,0.0,1.33,0.0
8,0.9347,0.0,0.1268,0.0,0.8732,0.0,0.0653,0.0,0.0879,0.0,0.9064,0.0,1.58,0.0
9,0.9383,0.0,0.1319,0.0,0.8681,0.0,0.0617,0.0,0.0879,0.0,0.908,0.0,2.053,0.0
10,0.9306,0.0,0.1338,0.0,0.8662,0.0,0.0694,0.0,0.093,0.0,0.9008,0.0,1.437,0.0
11,0.9458,0.0,0.1361,0.0,0.8639,0.0,0.0542,0.0,0.0853,0.0,0.9131,0.0,1.561,0.0
12,0.9456,0.0,0.1419,0.0,0.8581,0.0,0.0544,0.0,0.0879,0.0,0.9111,0.0,1.924,0.0
13,0.9124,0.0,0.1324,0.0,0.8676,0.0,0.0876,0.0,0.1034,0.0,0.885,0.0,1.684,0.0
14,0.9333,0.0,0.1565,0.0,0.8435,0.0,0.0667,0.0,0.1008,0.0,0.8963,0.0,1.818,0.0
15,0.9339,0.0,0.1448,0.0,0.8552,0.0,0.0661,0.0,0.0956,0.0,0.9003,0.0,1.917,0.0
16,0.8992,0.0,0.1727,0.0,0.8273,0.0,0.1008,0.0,0.1266,0.0,0.8621,0.0,1.729,0.0
17,0.9333,0.0,0.1565,0.0,0.8435,0.0,0.0667,0.0,0.1008,0.0,0.8963,0.0,1.556,0.0
18,0.9344,0.0,0.1329,0.0,0.8671,0.0,0.0656,0.0,0.0904,0.0,0.9044,0.0,1.735,0.0
Best version of Decision_Tree MLLib is test n°5
With 3 parameters:
Impurity: gini
Max_Depth: 6
Max_Bins: 32
-
Mean and St_Dev of the whole Decision_Tree MLLib classifier metrics are as follows:
Sensitivity: Mean = 0.9372; St_Dev = 0.0137
Fallout: Mean = 0.1362; St_Dev = 0.0138
Specificity: Mean = 0.8638; St_Dev = 0.0138
Miss_Rate: Mean = 0.0628; St_Dev = 0.0137
Test_Error: Mean = 0.0903; St_Dev = 0.0122
AUC: Mean = 0.9056; St_Dev = 0.0147
Exec_Time: Mean = 1.6213; St_Dev = 0.2636
#############################
Random_Forest MLLib: 36 versions x 1 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.9828,0.0,0.1226,0.0,0.8774,0.0,0.0172,0.0,0.0594,0.0,0.9473,0.0,3.129,0.0
2,0.9828,0.0,0.1169,0.0,0.8831,0.0,0.0172,0.0,0.0568,0.0,0.9493,0.0,4.4,0.0
3,0.9828,0.0,0.1169,0.0,0.8831,0.0,0.0172,0.0,0.0568,0.0,0.9493,0.0,3.492,0.0
4,0.9827,0.0,0.1282,0.0,0.8718,0.0,0.0173,0.0,0.062,0.0,0.9452,0.0,5.92,0.0
5,0.9784,0.0,0.129,0.0,0.871,0.0,0.0216,0.0,0.0646,0.0,0.9417,0.0,5.166,0.0
6,0.9786,0.0,0.1176,0.0,0.8824,0.0,0.0214,0.0,0.0594,0.0,0.9457,0.0,8.244,0.0
7,0.9785,0.0,0.1234,0.0,0.8766,0.0,0.0215,0.0,0.062,0.0,0.9437,0.0,3.77,0.0
8,0.9828,0.0,0.1169,0.0,0.8831,0.0,0.0172,0.0,0.0568,0.0,0.9493,0.0,5.311,0.0
9,0.9828,0.0,0.1169,0.0,0.8831,0.0,0.0172,0.0,0.0568,0.0,0.9493,0.0,4.114,0.0
10,0.9784,0.0,0.1346,0.0,0.8654,0.0,0.0216,0.0,0.0672,0.0,0.9396,0.0,6.529,0.0
11,0.9785,0.0,0.1234,0.0,0.8766,0.0,0.0215,0.0,0.062,0.0,0.9437,0.0,5.522,0.0
12,0.9784,0.0,0.129,0.0,0.871,0.0,0.0216,0.0,0.0646,0.0,0.9417,0.0,9.14,0.0
13,0.9829,0.0,0.1111,0.0,0.8889,0.0,0.0171,0.0,0.0543,0.0,0.9513,0.0,4.235,0.0
14,0.9746,0.0,0.1126,0.0,0.8874,0.0,0.0254,0.0,0.0594,0.0,0.9442,0.0,5.642,0.0
15,0.9785,0.0,0.1234,0.0,0.8766,0.0,0.0215,0.0,0.062,0.0,0.9437,0.0,4.175,0.0
16,0.9787,0.0,0.1118,0.0,0.8882,0.0,0.0213,0.0,0.0568,0.0,0.9477,0.0,6.949,0.0
17,0.9785,0.0,0.1234,0.0,0.8766,0.0,0.0215,0.0,0.062,0.0,0.9437,0.0,5.619,0.0
18,0.9786,0.0,0.1176,0.0,0.8824,0.0,0.0214,0.0,0.0594,0.0,0.9457,0.0,9.874,0.0
19,0.9825,0.0,0.1392,0.0,0.8608,0.0,0.0175,0.0,0.0672,0.0,0.9412,0.0,2.76,0.0
20,0.9827,0.0,0.1282,0.0,0.8718,0.0,0.0173,0.0,0.062,0.0,0.9452,0.0,4.485,0.0
21,0.9826,0.0,0.1338,0.0,0.8662,0.0,0.0174,0.0,0.0646,0.0,0.9432,0.0,3.688,0.0
22,0.9827,0.0,0.1282,0.0,0.8718,0.0,0.0173,0.0,0.062,0.0,0.9452,0.0,5.259,0.0
23,0.9826,0.0,0.1338,0.0,0.8662,0.0,0.0174,0.0,0.0646,0.0,0.9432,0.0,4.631,0.0
