Multiplier: 1
Decision_Tree MLLib: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,0.9016,0.1214,0.8786,0.0984,0.1107,0.8886,4.322
2.1,gini,5,64,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,1.57
3.1,gini,5,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,1.454
4.1,gini,6,32,0.9024,0.1151,0.8849,0.0976,0.1069,0.8926,1.449
5.1,gini,6,64,0.9492,0.1042,0.8958,0.0508,0.0802,0.9187,1.271
6.1,gini,6,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,1.435
7.1,gini,7,32,0.896,0.1095,0.8905,0.104,0.1069,0.8928,1.247
8.1,gini,7,64,0.9492,0.1042,0.8958,0.0508,0.0802,0.9187,1.355
9.1,gini,7,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,1.519
10.1,entropy,5,32,0.9231,0.131,0.869,0.0769,0.1069,0.8919,1.273
11.1,entropy,5,64,0.9402,0.1172,0.8828,0.0598,0.0916,0.9071,1.076
12.1,entropy,5,128,0.9402,0.1172,0.8828,0.0598,0.0916,0.9071,1.189
13.1,entropy,6,32,0.9322,0.1181,0.8819,0.0678,0.0954,0.9034,1.097
14.1,entropy,6,64,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,1.112
15.1,entropy,6,128,0.9333,0.1056,0.8944,0.0667,0.0878,0.9113,1.115
16.1,entropy,7,32,0.9322,0.1181,0.8819,0.0678,0.0954,0.9034,1.245
17.1,entropy,7,64,0.9339,0.0993,0.9007,0.0661,0.084,0.9153,1.205
18.1,entropy,7,128,0.896,0.1095,0.8905,0.104,0.1069,0.8928,1.235
#############################
Random_Forest MLLib: 36 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Num_Trees,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,100,0.9649,0.1149,0.8851,0.0351,0.0802,0.9183,2.207
2.1,gini,5,32,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,2.702
3.1,gini,5,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,2.209
4.1,gini,5,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,3.023
5.1,gini,5,128,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,2.805
6.1,gini,5,128,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.366
7.1,gini,6,32,100,0.9735,0.1141,0.8859,0.0265,0.0763,0.922,2.364
8.1,gini,6,32,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,2.997
9.1,gini,6,64,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,2.673
10.1,gini,6,64,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,3.641
11.1,gini,6,128,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,3.081
12.1,gini,6,128,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,5.107
13.1,gini,7,32,100,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,2.438
14.1,gini,7,32,200,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,3.535
15.1,gini,7,64,100,0.9492,0.1042,0.8958,0.0508,0.0802,0.9187,2.79
16.1,gini,7,64,200,0.9565,0.1156,0.8844,0.0435,0.084,0.9146,4.07
17.1,gini,7,128,100,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,3.39
18.1,gini,7,128,200,0.9573,0.1034,0.8966,0.0427,0.0763,0.9224,6.268
19.1,entropy,5,32,100,0.9735,0.1141,0.8859,0.0265,0.0763,0.922,1.897
20.1,entropy,5,32,200,0.9737,0.1081,0.8919,0.0263,0.0725,0.9259,2.459
21.1,entropy,5,64,100,0.982,0.1192,0.8808,0.018,0.0763,0.9217,2.146
