Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,0.8909,0.0006,0.9994,0.1091,0.0007,0.8333,44.32
1.2,gini,5,32,0.8911,0.0007,0.9993,0.1089,0.0008,0.8061,36.694
1.3,gini,5,32,0.8783,0.0005,0.9995,0.1217,0.0007,0.8435,36.564
1.4,gini,5,32,0.9115,0.0005,0.9995,0.0885,0.0006,0.8503,36.105
1.5,gini,5,32,0.8871,0.0004,0.9996,0.1129,0.0006,0.8741,35.731
2.1,gini,5,64,0.896,0.0004,0.9996,0.104,0.0006,0.8809,35.668
2.2,gini,5,64,0.896,0.0004,0.9996,0.104,0.0006,0.8809,36.157
2.3,gini,5,64,0.876,0.0005,0.9995,0.124,0.0007,0.8605,36.015
2.4,gini,5,64,0.9244,0.0004,0.9996,0.0756,0.0005,0.8741,36.05
2.5,gini,5,64,0.9068,0.0005,0.9995,0.0932,0.0006,0.8639,36.552
3.1,gini,5,128,0.8583,0.0004,0.9996,0.1417,0.0007,0.8706,36.262
3.2,gini,5,128,0.8626,0.0004,0.9996,0.1374,0.0006,0.8842,36.03
3.3,gini,5,128,0.8678,0.0005,0.9995,0.1322,0.0007,0.857,36.006
3.4,gini,5,128,0.873,0.0004,0.9996,0.127,0.0006,0.8741,36.396
3.5,gini,5,128,0.9024,0.0004,0.9996,0.0976,0.0006,0.8775,36.075
4.1,gini,6,32,0.8385,0.0004,0.9996,0.1615,0.0007,0.8706,36.241
4.2,gini,6,32,0.918,0.0004,0.9996,0.082,0.0005,0.8809,36.677
4.3,gini,6,32,0.88,0.0004,0.9996,0.12,0.0006,0.8741,36.349
4.4,gini,6,32,0.854,0.0004,0.9996,0.146,0.0006,0.8978,36.082
4.5,gini,6,32,0.8898,0.0005,0.9995,0.1102,0.0006,0.8571,37.176
5.1,gini,6,64,0.907,0.0004,0.9996,0.093,0.0005,0.8979,36.116
5.2,gini,6,64,0.874,0.0004,0.9996,0.126,0.0006,0.8775,36.283
5.3,gini,6,64,0.8976,0.0004,0.9996,0.1024,0.0005,0.8877,36.234
5.4,gini,6,64,0.8702,0.0004,0.9996,0.1298,0.0006,0.8877,36.597
5.5,gini,6,64,0.8824,0.0005,0.9995,0.1176,0.0007,0.8571,36.394
6.1,gini,6,128,0.8507,0.0004,0.9996,0.1493,0.0006,0.8876,36.206
6.2,gini,6,128,0.9055,0.0004,0.9996,0.0945,0.0005,0.8911,36.767
6.3,gini,6,128,0.876,0.0004,0.9996,0.124,0.0006,0.8843,36.996
6.4,gini,6,128,0.8915,0.0004,0.9996,0.1085,0.0005,0.8911,36.576
6.5,gini,6,128,0.8682,0.0004,0.9996,0.1318,0.0006,0.8809,36.513
7.1,gini,7,32,0.8527,0.0004,0.9996,0.1473,0.0007,0.874,37.046
7.2,gini,7,32,0.874,0.0004,0.9996,0.126,0.0006,0.8775,37.14
7.3,gini,7,32,0.8594,0.0004,0.9996,0.1406,0.0006,0.874,36.75
7.4,gini,7,32,0.8898,0.0005,0.9995,0.1102,0.0006,0.8571,36.295
7.5,gini,7,32,0.8699,0.0005,0.9995,0.1301,0.0007,0.8639,36.507
8.1,gini,7,64,0.876,0.0004,0.9996,0.124,0.0006,0.8843,36.981
8.2,gini,7,64,0.8952,0.0004,0.9996,0.1048,0.0006,0.8775,36.336
8.3,gini,7,64,0.8676,0.0003,0.9997,0.1324,0.0006,0.9013,36.548
8.4,gini,7,64,0.878,0.0005,0.9995,0.122,0.0006,0.8673,36.548
8.5,gini,7,64,0.9032,0.0004,0.9996,0.0968,0.0006,0.8809,37.008
9.1,gini,7,128,0.854,0.0004,0.9996,0.146,0.0006,0.8978,36.965
9.2,gini,7,128,0.8731,0.0004,0.9996,0.1269,0.0006,0.8979,36.782
9.3,gini,7,128,0.8605,0.0004,0.9996,0.1395,0.0006,0.8774,36.641
9.4,gini,7,128,0.8429,0.0003,0.9997,0.1571,0.0006,0.9012,36.563
9.5,gini,7,128,0.8629,0.0005,0.9995,0.1371,0.0007,0.8638,36.553
10.1,entropy,5,32,0.8444,0.0004,0.9996,0.1556,0.0006,0.8876,35.84
10.2,entropy,5,32,0.8529,0.0004,0.9996,0.1471,0.0006,0.8944,35.69
10.3,entropy,5,32,0.8673,0.0007,0.9993,0.1327,0.0009,0.789,35.816
10.4,entropy,5,32,0.8162,0.0004,0.9996,0.1838,0.0007,0.8774,35.999
10.5,entropy,5,32,0.8835,0.0007,0.9993,0.1165,0.0008,0.8095,36.039
11.1,entropy,5,64,0.8489,0.0003,0.9997,0.1511,0.0006,0.9012,35.999
11.2,entropy,5,64,0.8915,0.0004,0.9996,0.1085,0.0005,0.8911,35.904
11.3,entropy,5,64,0.875,0.0004,0.9996,0.125,0.0006,0.8809,36.289
11.4,entropy,5,64,0.8623,0.0003,0.9997,0.1377,0.0006,0.9047,35.918
11.5,entropy,5,64,0.8431,0.0007,0.9993,0.1569,0.0009,0.7924,35.97
12.1,entropy,5,128,0.9083,0.0004,0.9996,0.0917,0.0006,0.8707,36.038
12.2,entropy,5,128,0.9153,0.0005,0.9995,0.0847,0.0006,0.8673,36.363
12.3,entropy,5,128,0.8855,0.0004,0.9996,0.1145,0.0005,0.8945,36.146
12.4,entropy,5,128,0.9024,0.0004,0.9996,0.0976,0.0006,0.8775,35.952
12.5,entropy,5,128,0.9083,0.0004,0.9996,0.0917,0.0006,0.8707,36.326
13.1,entropy,6,32,0.8489,0.0003,0.9997,0.1511,0.0006,0.9012,36.374
13.2,entropy,6,32,0.8429,0.0003,0.9997,0.1571,0.0006,0.9012,36.753
13.3,entropy,6,32,0.9174,0.0006,0.9994,0.0826,0.0007,0.8401,36.076
13.4,entropy,6,32,0.8898,0.0004,0.9996,0.1102,0.0006,0.8843,36.466
13.5,entropy,6,32,0.906,0.0005,0.9995,0.094,0.0006,0.8605,37.072
14.1,entropy,6,64,0.881,0.0004,0.9996,0.119,0.0006,0.8775,36.292
14.2,entropy,6,64,0.872,0.0004,0.9996,0.128,0.0006,0.8707,36.875
14.3,entropy,6,64,0.9032,0.0004,0.9996,0.0968,0.0006,0.8809,36.48
14.4,entropy,6,64,0.88,0.0004,0.9996,0.12,0.0006,0.8741,36.751
