Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,gini,5,32,0.9016,0.1214,0.8786,0.0984,0.1107,0.8886,7.61
1.2,gini,5,32,0.9016,0.1214,0.8786,0.0984,0.1107,0.8886,3.864
1.3,gini,5,32,0.9016,0.1214,0.8786,0.0984,0.1107,0.8886,3.758
1.4,gini,5,32,0.9016,0.1214,0.8786,0.0984,0.1107,0.8886,3.616
1.5,gini,5,32,0.9016,0.1214,0.8786,0.0984,0.1107,0.8886,3.449
2.1,gini,5,64,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,3.69
2.2,gini,5,64,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,3.451
2.3,gini,5,64,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,3.672
2.4,gini,5,64,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,3.485
2.5,gini,5,64,0.9569,0.1096,0.8904,0.0431,0.0802,0.9185,3.817
3.1,gini,5,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,3.638
3.2,gini,5,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,3.461
3.3,gini,5,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,3.505
3.4,gini,5,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,3.567
3.5,gini,5,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,3.397
4.1,gini,6,32,0.9024,0.1151,0.8849,0.0976,0.1069,0.8926,3.47
4.2,gini,6,32,0.9024,0.1151,0.8849,0.0976,0.1069,0.8926,3.429
4.3,gini,6,32,0.9024,0.1151,0.8849,0.0976,0.1069,0.8926,3.535
4.4,gini,6,32,0.9024,0.1151,0.8849,0.0976,0.1069,0.8926,3.39
4.5,gini,6,32,0.9024,0.1151,0.8849,0.0976,0.1069,0.8926,3.702
5.1,gini,6,64,0.9492,0.1042,0.8958,0.0508,0.0802,0.9187,3.613
5.2,gini,6,64,0.9492,0.1042,0.8958,0.0508,0.0802,0.9187,3.418
5.3,gini,6,64,0.9492,0.1042,0.8958,0.0508,0.0802,0.9187,3.542
5.4,gini,6,64,0.9492,0.1042,0.8958,0.0508,0.0802,0.9187,3.574
5.5,gini,6,64,0.9492,0.1042,0.8958,0.0508,0.0802,0.9187,3.359
6.1,gini,6,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,3.503
6.2,gini,6,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,3.456
6.3,gini,6,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,3.633
6.4,gini,6,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,3.452
6.5,gini,6,128,0.9397,0.1233,0.8767,0.0603,0.0954,0.9032,3.529
7.1,gini,7,32,0.896,0.1095,0.8905,0.104,0.1069,0.8928,3.41
7.2,gini,7,32,0.896,0.1095,0.8905,0.104,0.1069,0.8928,3.455
7.3,gini,7,32,0.896,0.1095,0.8905,0.104,0.1069,0.8928,3.41
