EnsembleType,Sensitivity,Fallout,Specificity,Miss_Rate,Test_Err,AUC
DT,0.95,0.112,0.888,0.05,0.0701,0.9208
RF,0.9801,0.1119,0.8881,0.0199,0.0519,0.9511
GBT,0.9766,0.0853,0.9147,0.0234,0.0442,0.9547
LR,0.9957,0.18,0.82,0.0043,0.0727,0.9442
LSVC,0.9958,0.1689,0.8311,0.0042,0.0675,0.9481
DT RF,0.9468,0.0984,0.9016,0.0532,0.0675,0.9206
DT GBT,0.9476,0.0678,0.9322,0.0524,0.0571,0.9282
DT LR,0.95,0.112,0.888,0.05,0.0701,0.9208
DT LSVC,0.95,0.112,0.888,0.05,0.0701,0.9208
RF GBT,0.9767,0.0709,0.9291,0.0233,0.039,0.9586
RF LR,0.9801,0.1119,0.8881,0.0199,0.0519,0.9511
RF LSVC,0.9801,0.1119,0.8881,0.0199,0.0519,0.9511
GBT LR,0.9767,0.0781,0.9219,0.0233,0.0416,0.9566
GBT LSVC,0.9767,0.0781,0.9219,0.0233,0.0416,0.9566
LR LSVC,0.9958,0.1689,0.8311,0.0042,0.0675,0.9481
DT RF GBT,0.9425,0.0484,0.9516,0.0575,0.0545,0.9317
DT RF LR,0.9349,0.0323,0.9677,0.0651,0.0545,0.9299
DT RF LSVC,0.9349,0.0323,0.9677,0.0651,0.0545,0.9299
DT GBT LR,0.9387,0.0403,0.9597,0.0613,0.0545,0.9307
DT GBT LSVC,0.9387,0.0403,0.9597,0.0613,0.0545,0.9307
DT LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
RF GBT LR,0.9387,0.0403,0.9597,0.0613,0.0545,0.9307
RF GBT LSVC,0.9387,0.0403,0.9597,0.0613,0.0545,0.9307
RF LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
GBT LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
DT RF GBT LR,0.9349,0.0323,0.9677,0.0651,0.0545,0.9299
DT RF GBT LSVC,0.9349,0.0323,0.9677,0.0651,0.0545,0.9299
DT RF LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
DT GBT LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
RF GBT LR LSVC,0.9042,0.0081,0.9919,0.0958,0.0675,0.9134
DT RF GBT LR LSVC,0.9349,0.0323,0.9677,0.0651,0.0545,0.9299
##################
DT = DecisionTree
RF = RandomForest
GBT = GradientBoostedTree
LR = LogisticRegression
LSVC = LinearSVC
