EnsembleType,Sensitivity,Fallout,Specificity,Miss_Rate,Test_Err,AUC
DT,0.8542,0.0603,0.9397,0.1458,0.1077,0.8923
RF,0.9535,0.0534,0.9466,0.0465,0.05,0.95
GBT,0.8921,0.0496,0.9504,0.1079,0.0808,0.9192
LR,0.5882,0.4032,0.5968,0.4118,0.4077,0.5923
LSVC,0.9875,0.2833,0.7167,0.0125,0.2,0.8
DT RF,0.8562,0.0439,0.9561,0.1438,0.1,0.9
DT GBT,0.8562,0.0439,0.9561,0.1438,0.1,0.9
DT LR,0.6546,0.0455,0.9545,0.3454,0.2692,0.7308
DT LSVC,0.8552,0.0522,0.9478,0.1448,0.1038,0.8962
RF GBT,0.8936,0.0336,0.9664,0.1064,0.0731,0.9269
RF LR,0.6791,0.0411,0.9589,0.3209,0.2423,0.7577
RF LSVC,0.9538,0.0462,0.9538,0.0462,0.0462,0.9538
GBT LR,0.6684,0.0149,0.9851,0.3316,0.25,0.75
GBT LSVC,0.8936,0.0336,0.9664,0.1064,0.0731,0.9269
LR LSVC,0.6522,0.2525,0.7475,0.3478,0.3115,0.6885
DT RF GBT,0.9538,0.1154,0.8846,0.0462,0.0808,0.9212
DT RF LR,0.9462,0.1077,0.8923,0.0538,0.0808,0.9204
DT RF LSVC,0.9308,0.0462,0.9538,0.0692,0.0577,0.9425
DT GBT LR,0.9462,0.1385,0.8615,0.0538,0.0962,0.9068
DT GBT LSVC,0.9462,0.1154,0.8846,0.0538,0.0846,0.917
DT LR LSVC,0.7692,0.0769,0.9231,0.2308,0.1538,0.8545
RF GBT LR,0.9538,0.0846,0.9154,0.0462,0.0654,0.9353
RF GBT LSVC,0.9385,0.0462,0.9538,0.0615,0.0538,0.9463
RF LR LSVC,0.7692,0.0154,0.9846,0.2308,0.1231,0.8953
GBT LR LSVC,0.7692,0.0538,0.9462,0.2308,0.1423,0.8693
DT RF GBT LR,0.9385,0.0846,0.9154,0.0615,0.0731,0.9272
DT RF GBT LSVC,0.9308,0.0462,0.9538,0.0692,0.0577,0.9425
DT RF LR LSVC,0.7615,0.0154,0.9846,0.2385,0.1269,0.8926
DT GBT LR LSVC,0.7692,0.0538,0.9462,0.2308,0.1423,0.8693
RF GBT LR LSVC,0.7615,0.0154,0.9846,0.2385,0.1269,0.8926
DT RF GBT LR LSVC,0.9385,0.0846,0.9154,0.0615,0.0731,0.9272
##################
DT = Decision_Tree
RF = Random_Forest
GBT = Gradient_Boosted_Tree
LR = Logistic_Regression
LSVC = Linear_SVC
