Decision_Tree: 18 versions x 5 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.8918,0.0122,0.0005,0.0001,0.9995,0.0001,0.1082,0.0122,0.0007,0.0001,0.8415,0.0248,37.8828,3.6187
2,0.8998,0.0177,0.0004,0.0001,0.9996,0.0001,0.1002,0.0177,0.0006,0.0001,0.8721,0.0095,36.0884,0.3175
3,0.8728,0.0174,0.0004,0.0,0.9996,0.0,0.1272,0.0174,0.0006,0.0001,0.8727,0.0101,36.1538,0.1686
4,0.8761,0.0311,0.0004,0.0,0.9996,0.0,0.1239,0.0311,0.0006,0.0001,0.8761,0.0149,36.505,0.4338
5,0.8862,0.0157,0.0004,0.0,0.9996,0.0,0.1138,0.0157,0.0006,0.0001,0.8816,0.0155,36.3248,0.182
6,0.8784,0.0211,0.0004,0.0,0.9996,0.0,0.1216,0.0211,0.0006,0.0001,0.887,0.0044,36.6116,0.2947
7,0.8692,0.0143,0.0004,0.0001,0.9996,0.0001,0.1308,0.0143,0.0006,0.0001,0.8693,0.0085,36.7476,0.3556
8,0.884,0.0147,0.0004,0.0001,0.9996,0.0001,0.116,0.0147,0.0006,0.0,0.8823,0.0124,36.6842,0.2963
9,0.8587,0.0112,0.0004,0.0001,0.9996,0.0001,0.1413,0.0112,0.0006,0.0,0.8876,0.0163,36.7008,0.1738
10,0.8529,0.0253,0.0005,0.0002,0.9995,0.0002,0.1471,0.0253,0.0007,0.0001,0.8516,0.0487,35.8768,0.1425
11,0.8642,0.0197,0.0004,0.0002,0.9996,0.0002,0.1358,0.0197,0.0006,0.0002,0.8741,0.0466,36.016,0.1574
12,0.904,0.0113,0.0004,0.0,0.9996,0.0,0.096,0.0113,0.0006,0.0,0.8761,0.0109,36.165,0.1782
13,0.881,0.0336,0.0004,0.0001,0.9996,0.0001,0.119,0.0336,0.0006,0.0,0.8775,0.0267,36.5482,0.3796
14,0.8855,0.0121,0.0004,0.0,0.9996,0.0,0.1145,0.0121,0.0006,0.0,0.8789,0.0078,36.6232,0.2339
15,0.897,0.0221,0.0004,0.0,0.9996,0.0,0.103,0.0221,0.0005,0.0001,0.8891,0.0019,36.8696,0.2536
16,0.8961,0.015,0.0005,0.0,0.9995,0.0,0.1039,0.015,0.0006,0.0001,0.8571,0.0064,134.803,76.6858
17,0.8825,0.0273,0.0004,0.0001,0.9996,0.0001,0.1175,0.0273,0.0006,0.0001,0.8863,0.0137,166.682,70.0425
18,0.8868,0.0179,0.0004,0.0,0.9996,0.0,0.1132,0.0179,0.0006,0.0001,0.8877,0.0042,163.9964,66.3123
Best version of Decision_Tree is test n°15
With 3 parameters:
Impurity: entropy
Max_Depth: 6
Max_Bins: 64
-
Mean and St_Dev of the whole Decision_Tree classifier metrics are as follows:
Sensitivity: Mean = 0.8815; St_Dev = 0.0141
Fallout: Mean = 0.0004; St_Dev = 0.0
Specificity: Mean = 0.9996; St_Dev = 0.0
Miss_Rate: Mean = 0.1185; St_Dev = 0.0141
Test_Error: Mean = 0.0006; St_Dev = 0.0
AUC: Mean = 0.8749; St_Dev = 0.0132
Exec_Time: Mean = 56.2933; St_Dev = 45.9011
#############################
Random_Forest: 36 versions x 5 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.8695,0.0045,0.0004,0.0,0.9996,0.0,0.1305,0.0045,0.0006,0.0,0.8761,0.0074,171.4926,54.5288
2,0.8714,0.0045,0.0004,0.0,0.9996,0.0,0.1286,0.0045,0.0006,0.0,0.8782,0.0078,205.1576,51.9833
3,0.8738,0.0045,0.0004,0.0,0.9996,0.0,0.1262,0.0045,0.0006,0.0,0.8768,0.0015,204.7156,58.286
4,0.8801,0.0178,0.0004,0.0,0.9996,0.0,0.1199,0.0178,0.0006,0.0,0.8782,0.0044,207.8598,42.1657
5,0.8859,0.0137,0.0004,0.0,0.9996,0.0,0.1141,0.0137,0.0006,0.0,0.8795,0.0019,200.4126,51.2319
6,0.8842,0.0151,0.0004,0.0,0.9996,0.0,0.1158,0.0151,0.0006,0.0,0.8782,0.0028,216.4746,13.1795
7,0.8865,0.0202,0.0004,0.0,0.9996,0.0,0.1135,0.0202,0.0006,0.0001,0.8857,0.0057,198.3958,51.5656
8,0.9035,0.0004,0.0004,0.0,0.9996,0.0,0.0965,0.0004,0.0006,0.0001,0.8823,0.0019,248.1146,33.9892
9,0.905,0.009,0.0004,0.0,0.9996,0.0,0.095,0.009,0.0005,0.0001,0.8816,0.0037,208.9366,49.0241
10,0.9007,0.0063,0.0004,0.0,0.9996,0.0,0.0993,0.0063,0.0006,0.0001,0.8823,0.0039,244.6524,12.8198
11,0.9206,0.0125,0.0004,0.0,0.9996,0.0,0.0794,0.0125,0.0005,0.0,0.8857,0.003,223.85,36.5192
12,0.9216,0.007,0.0004,0.0,0.9996,0.0,0.0784,0.007,0.0005,0.0,0.8836,0.0028,270.629,11.4713
13,0.9141,0.0106,0.0004,0.0,0.9996,0.0,0.0859,0.0106,0.0005,0.0,0.8829,0.0074,207.123,26.6976
14,0.9213,0.0042,0.0004,0.0,0.9996,0.0,0.0787,0.0042,0.0005,0.0,0.8823,0.0019,279.5178,6.6702
15,0.92,0.0099,0.0004,0.0,0.9996,0.0,0.08,0.0099,0.0005,0.0,0.8829,0.0039,240.7932,39.8449
16,0.9159,0.0113,0.0004,0.0,0.9996,0.0,0.0841,0.0113,0.0005,0.0,0.885,0.0028,267.7456,27.774
17,0.9373,0.0042,0.0004,0.0,0.9996,0.0,0.0627,0.0042,0.0005,0.0,0.8863,0.0019,226.3312,23.9134
18,0.9362,0.0031,0.0004,0.0,0.9996,0.0,0.0638,0.0031,0.0005,0.0,0.8891,0.003,307.5454,35.3786
19,0.8651,0.0038,0.0004,0.0,0.9996,0.0,0.1349,0.0038,0.0006,0.0,0.8795,0.0067,208.055,55.6631
20,0.8671,0.0032,0.0004,0.0,0.9996,0.0,0.1329,0.0032,0.0006,0.0,0.8816,0.0029,214.3614,40.0513
21,0.8611,0.0029,0.0004,0.0,0.9996,0.0,0.1389,0.0029,0.0006,0.0,0.8835,0.0028,200.0266,52.024
22,0.8686,0.0041,0.0004,0.0,0.9996,0.0,0.1314,0.0041,0.0006,0.0,0.8822,0.003,233.531,41.989
23,0.8764,0.0068,0.0004,0.0,0.9996,0.0,0.1236,0.0068,0.0006,0.0,0.8857,0.0019,204.8884,54.5125
24,0.8758,0.0008,0.0004,0.0,0.9996,0.0,0.1242,0.0008,0.0006,0.0,0.8836,0.0028,242.9196,32.9271
