Decision_Tree: 18 versions x 5 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.9339,0.0,0.1206,0.0,0.8794,0.0,0.0661,0.0,0.0954,0.0,0.9043,0.0,7.3,2.9765
2,0.9206,0.0,0.1029,0.0,0.8971,0.0,0.0794,0.0,0.0916,0.0,0.9083,0.0,5.6078,0.036
3,0.9062,0.0,0.1045,0.0,0.8955,0.0,0.0938,0.0,0.0992,0.0,0.9007,0.0,5.621,0.0508
4,0.9339,0.0,0.1206,0.0,0.8794,0.0,0.0661,0.0,0.0954,0.0,0.9043,0.0,5.5538,0.0383
5,0.9206,0.0,0.1029,0.0,0.8971,0.0,0.0794,0.0,0.0916,0.0,0.9083,0.0,5.6378,0.101
6,0.9062,0.0,0.1045,0.0,0.8955,0.0,0.0938,0.0,0.0992,0.0,0.9007,0.0,5.7506,0.0462
7,0.9339,0.0,0.1206,0.0,0.8794,0.0,0.0661,0.0,0.0954,0.0,0.9043,0.0,5.675,0.0492
8,0.9141,0.0,0.097,0.0,0.903,0.0,0.0859,0.0,0.0916,0.0,0.9083,0.0,5.776,0.0357
9,0.907,0.0,0.0977,0.0,0.9023,0.0,0.093,0.0,0.0954,0.0,0.9045,0.0,5.9352,0.0636
10,0.936,0.0,0.0949,0.0,0.9051,0.0,0.064,0.0,0.0802,0.0,0.9197,0.0,5.3666,0.0711
11,0.9084,0.0,0.084,0.0,0.916,0.0,0.0916,0.0,0.0878,0.0,0.9122,0.0,5.3944,0.0266
12,0.9008,0.0,0.0916,0.0,0.9084,0.0,0.0992,0.0,0.0954,0.0,0.9046,0.0,5.5852,0.0406
13,0.9154,0.0,0.0833,0.0,0.9167,0.0,0.0846,0.0,0.084,0.0,0.916,0.0,5.4874,0.0295
14,0.9219,0.0,0.0896,0.0,0.9104,0.0,0.0781,0.0,0.084,0.0,0.916,0.0,5.5778,0.0826
15,0.907,0.0,0.0977,0.0,0.9023,0.0,0.093,0.0,0.0954,0.0,0.9045,0.0,5.7588,0.0818
16,0.8686,0.0,0.088,0.0,0.912,0.0,0.1314,0.0,0.1107,0.0,0.8895,0.0,5.7096,0.0647
17,0.875,0.0,0.0873,0.0,0.9127,0.0,0.125,0.0,0.1069,0.0,0.8933,0.0,5.863,0.0889
18,0.8623,0.0,0.0887,0.0,0.9113,0.0,0.1377,0.0,0.1145,0.0,0.8857,0.0,5.981,0.0764
Best version of Decision_Tree is test n°10
With 3 parameters:
Impurity: gini
Max_Depth: 7
Max_Bins: 128
-
Mean and St_Dev of the whole Decision_Tree classifier metrics are as follows:
Sensitivity: Mean = 0.9095; St_Dev = 0.0219
Fallout: Mean = 0.0987; St_Dev = 0.0121
Specificity: Mean = 0.9013; St_Dev = 0.0121
Miss_Rate: Mean = 0.0905; St_Dev = 0.0219
Test_Error: Mean = 0.0952; St_Dev = 0.0089
AUC: Mean = 0.9047; St_Dev = 0.0088
Exec_Time: Mean = 5.7545; St_Dev = 0.4199
#############################
Random_Forest: 36 versions x 5 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.9655,0.0,0.1233,0.0,0.8767,0.0,0.0345,0.0,0.084,0.0,0.9156,0.0,9.5652,0.2568
2,0.9661,0.0,0.1111,0.0,0.8889,0.0,0.0339,0.0,0.0763,0.0,0.9233,0.0,11.177,0.2283
3,0.9739,0.0,0.1224,0.0,0.8776,0.0,0.0261,0.0,0.0802,0.0,0.9194,0.0,9.8392,0.2604
4,0.9655,0.0,0.1233,0.0,0.8767,0.0,0.0345,0.0,0.084,0.0,0.9156,0.0,11.7628,0.3207
5,0.9658,0.0,0.1172,0.0,0.8828,0.0,0.0342,0.0,0.0802,0.0,0.9195,0.0,10.5186,0.1892
6,0.9655,0.0,0.1233,0.0,0.8767,0.0,0.0345,0.0,0.084,0.0,0.9156,0.0,13.4494,0.2626
7,0.9661,0.0,0.1111,0.0,0.8889,0.0,0.0339,0.0,0.0763,0.0,0.9233,0.0,10.8324,0.2356
8,0.9583,0.0,0.1056,0.0,0.8944,0.0,0.0417,0.0,0.0763,0.0,0.9234,0.0,12.8414,0.1832
9,0.9744,0.0,0.1103,0.0,0.8897,0.0,0.0256,0.0,0.0725,0.0,0.9271,0.0,11.0712,0.2759
10,0.9661,0.0,0.1111,0.0,0.8889,0.0,0.0339,0.0,0.0763,0.0,0.9233,0.0,13.5432,0.1764
11,0.9658,0.0,0.1172,0.0,0.8828,0.0,0.0342,0.0,0.0802,0.0,0.9195,0.0,12.2474,0.1996
12,0.95,0.0,0.1127,0.0,0.8873,0.0,0.05,0.0,0.084,0.0,0.9157,0.0,15.8872,0.3369
13,0.9583,0.0,0.1056,0.0,0.8944,0.0,0.0417,0.0,0.0763,0.0,0.9234,0.0,12.1002,0.1368
14,0.9583,0.0,0.1056,0.0,0.8944,0.0,0.0417,0.0,0.0763,0.0,0.9234,0.0,14.5456,0.169
15,0.9664,0.0,0.1049,0.0,0.8951,0.0,0.0336,0.0,0.0725,0.0,0.9272,0.0,12.4716,0.1807
16,0.9667,0.0,0.0986,0.0,0.9014,0.0,0.0333,0.0,0.0687,0.0,0.931,0.0,15.5452,0.2105
17,0.958,0.0,0.1119,0.0,0.8881,0.0,0.042,0.0,0.0802,0.0,0.9195,0.0,13.6296,0.0482
