Decision_Tree: 18 versions x 5 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.9016,0.0,0.1214,0.0,0.8786,0.0,0.0984,0.0,0.1107,0.0,0.8886,0.0,4.4594,1.7681
2,0.9569,0.0,0.1096,0.0,0.8904,0.0,0.0431,0.0,0.0802,0.0,0.9185,0.0,3.623,0.1526
3,0.9397,0.0,0.1233,0.0,0.8767,0.0,0.0603,0.0,0.0954,0.0,0.9032,0.0,3.5136,0.0932
4,0.9024,0.0,0.1151,0.0,0.8849,0.0,0.0976,0.0,0.1069,0.0,0.8926,0.0,3.5052,0.1224
5,0.9492,0.0,0.1042,0.0,0.8958,0.0,0.0508,0.0,0.0802,0.0,0.9187,0.0,3.5012,0.1079
6,0.9397,0.0,0.1233,0.0,0.8767,0.0,0.0603,0.0,0.0954,0.0,0.9032,0.0,3.5146,0.0737
7,0.896,0.0,0.1095,0.0,0.8905,0.0,0.104,0.0,0.1069,0.0,0.8928,0.0,3.4432,0.0328
8,0.9492,0.0,0.1042,0.0,0.8958,0.0,0.0508,0.0,0.0802,0.0,0.9187,0.0,3.4066,0.066
9,0.9397,0.0,0.1233,0.0,0.8767,0.0,0.0603,0.0,0.0954,0.0,0.9032,0.0,3.5492,0.0669
10,0.9231,0.0,0.131,0.0,0.869,0.0,0.0769,0.0,0.1069,0.0,0.8919,0.0,3.3588,0.1253
11,0.9402,0.0,0.1172,0.0,0.8828,0.0,0.0598,0.0,0.0916,0.0,0.9071,0.0,3.3694,0.053
12,0.9402,0.0,0.1172,0.0,0.8828,0.0,0.0598,0.0,0.0916,0.0,0.9071,0.0,3.442,0.037
13,0.9322,0.0,0.1181,0.0,0.8819,0.0,0.0678,0.0,0.0954,0.0,0.9034,0.0,3.4222,0.0814
14,0.9339,0.0,0.0993,0.0,0.9007,0.0,0.0661,0.0,0.084,0.0,0.9153,0.0,3.4604,0.0665
15,0.9333,0.0,0.1056,0.0,0.8944,0.0,0.0667,0.0,0.0878,0.0,0.9113,0.0,3.4128,0.0561
16,0.9322,0.0,0.1181,0.0,0.8819,0.0,0.0678,0.0,0.0954,0.0,0.9034,0.0,3.4446,0.0878
17,0.9339,0.0,0.0993,0.0,0.9007,0.0,0.0661,0.0,0.084,0.0,0.9153,0.0,3.4462,0.0603
