Decision_Tree MLLib: 18 versions x 10 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.9234,0.0293,0.0987,0.0214,0.9013,0.0214,0.0766,0.0293,0.0883,0.0187,0.9117,0.0187,0.8493,0.4918
2,0.9182,0.028,0.0993,0.0258,0.9007,0.0258,0.0818,0.028,0.0911,0.0225,0.9087,0.0224,0.621,0.0708
3,0.929,0.0353,0.0915,0.0195,0.9085,0.0195,0.071,0.0353,0.0822,0.0169,0.9178,0.0165,0.6847,0.0984
4,0.9087,0.0287,0.0996,0.0209,0.9004,0.0209,0.0913,0.0287,0.0957,0.019,0.9044,0.019,0.6083,0.0643
5,0.9193,0.0301,0.1018,0.0209,0.8982,0.0209,0.0808,0.0301,0.0918,0.021,0.9081,0.0209,0.641,0.0737
6,0.9101,0.0354,0.0963,0.0198,0.9037,0.0198,0.0899,0.0354,0.0934,0.02,0.9068,0.0197,0.661,0.0944
7,0.8995,0.0303,0.0964,0.0209,0.9036,0.0209,0.1005,0.0303,0.0987,0.0182,0.9015,0.0182,0.6135,0.0657
8,0.9088,0.0293,0.1024,0.0209,0.8976,0.0209,0.0912,0.0293,0.0969,0.022,0.9031,0.0218,0.657,0.0736
9,0.8996,0.0305,0.0943,0.0213,0.9057,0.0213,0.1004,0.0305,0.0977,0.0174,0.9025,0.0171,0.6671,0.0614
10,0.9312,0.0264,0.0977,0.0278,0.9023,0.0278,0.0688,0.0264,0.0846,0.0154,0.9154,0.0156,0.6008,0.0936
11,0.9245,0.0286,0.0982,0.0254,0.9018,0.0254,0.0755,0.0286,0.088,0.0116,0.9121,0.0113,0.6359,0.1049
12,0.924,0.0254,0.1049,0.0181,0.8951,0.0181,0.076,0.0254,0.0915,0.0117,0.9084,0.012,0.6326,0.0897
13,0.9207,0.0248,0.0961,0.0248,0.9039,0.0248,0.0793,0.0248,0.0884,0.014,0.9117,0.0142,0.6328,0.0723
14,0.9133,0.0187,0.0954,0.0249,0.9046,0.0249,0.0867,0.0187,0.0915,0.0112,0.9086,0.0114,0.6568,0.0621
15,0.9135,0.0273,0.0977,0.0252,0.9023,0.0252,0.0865,0.0273,0.0929,0.0111,0.9074,0.0113,0.6895,0.0827
16,0.92,0.0294,0.0949,0.0253,0.9052,0.0253,0.08,0.0294,0.0883,0.0136,0.9119,0.0137,0.6581,0.068
17,0.907,0.018,0.0955,0.0226,0.9045,0.0226,0.093,0.018,0.0945,0.0097,0.9056,0.0098,0.636,0.0784
18,0.9031,0.0246,0.0935,0.0192,0.9065,0.0192,0.0969,0.0246,0.0953,0.0148,0.9049,0.0148,0.7642,0.1248
Best version of Decision_Tree MLLib is test n°2
-
Mean and St_Dev of the whole Decision_Tree MLLib classifier metrics are as follows:
Sensitivity: Mean = 0.9152; St_Dev = 0.0096
Fallout: Mean = 0.0975; St_Dev = 0.0033
Specificity: Mean = 0.9025; St_Dev = 0.0033
Miss_Rate: Mean = 0.0848; St_Dev = 0.0096
Test_Error: Mean = 0.0917; St_Dev = 0.0045
AUC: Mean = 0.9084; St_Dev = 0.0044
Exec_Time: Mean = 0.6616; St_Dev = 0.0599
#############################
Random_Forest MLLib: 36 versions x 10 iterations
Version,Sensitivity(Mean),Sensitivity(StDev),Fallout(Mean),Fallout(StDev),Specificity(Mean),Specificity(StDev),Miss_Rate(Mean),Miss_Rate(StDev),Test_Error(Mean),Test_Error(StDev),AUC(Mean),AUC(StDev),Exec_Time(Mean),Exec_Time(StDev)
1,0.9801,0.011,0.1099,0.0213,0.8901,0.0213,0.0199,0.011,0.0704,0.0134,0.9289,0.0127,0.9151,0.1085
2,0.9765,0.0106,0.1108,0.0209,0.8892,0.0209,0.0235,0.0106,0.0724,0.013,0.9269,0.0119,1.179,0.1293
